title_in_english,length_in_minutes,subtitle_in_danish,subtitle_in_portuguese,subtitle_in_german,title_in_spanish,subtitle_in_french,available_in_library,subtitle_in_italian,is_adult_product,has_next_title_in_series,title_acquisition_id,language,title,profile_name,content_type,title_in_portuguese,media_type,audible_collections,subtitle_in_spanish,ASIN,title_in_italian,ebook_read_along_support,publisher,title_in_french,title_in_german,content_delivery_type,last_title_in_series_release_date,title_in_danish,audiobook_narrator,subtitle_in_english,last_updated,marketplace,is_finished,product_name,acquisition_method,whispersync_for_voice_support,format_type,plan_tier,subtitle,ownership_type,purchase_date,ownership,authors,book_series_info
"King of Pride","678","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","D01-2672992-9302633","en","King of Pride","Alex","Product","Not Available","audiobook","PURCHASE,PENDING","Not Available","B0C7CZ4LJW","Not Available","Yes","Boba Press","Not Available","Not Available","SinglePartBook","Not Available","Not Available","David Lee Huynh,Emery Erickson","Kings of Sin, Book 2","2025-08-14T17:38:50Z","www.audible.com","No","King of Pride","Purchase","Yes","unabridged","Not Available","Kings of Sin, Book 2","Not Available","2024-05-16T02:51:34Z","Active","Ana Huang","asin:B0C66JDQWF,title:Kings of Sin"
"King of Greed","505","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","D01-0084439-9933014","en","King of Greed","Alex","Product","Not Available","audiobook","PURCHASE","Not Available","B0CM6QNNBX","Not Available","Yes","Boba Press,LLC.","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Teddy Hamilton,Vanessa Vasquez","Kings of Sin, Book 3","2025-08-14T17:35:59Z","www.audible.com","No","King of Greed","Purchase","Yes","unabridged","Not Available","Kings of Sin, Book 3","Not Available","2024-05-17T11:52:49Z","Active","Ana Huang","asin:B0C66JDQWF,title:Kings of Sin"
"King of Sloth","779","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","Yes","Not Available","D01-7539734-3283464","en","King of Sloth","Alex","Product","Not Available","audiobook","PURCHASE","Not Available","B0D26ZKHPC","Not Available","Yes","Ana Huang","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Gregory Salinas,Elena Wolfe","Kings of Sin, Book 4","2025-08-14T17:24:04Z","www.audible.com","No","King of Sloth","Purchase","Yes","unabridged","Not Available","Kings of Sin, Book 4","Not Available","2024-05-17T21:01:52Z","Active","Ana Huang","asin:B0C66JDQWF,title:Kings of Sin"
"Hawke","788","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","Yes","Not Available","D01-0743402-6112238","en","Hawke","Alex","Product","Not Available","audiobook","PENDING","Not Available","B0CQQ7H29X","Not Available","Yes","Blue Nose Publishing","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Joe Arden,Avery Caris","Not Available","2025-08-11T12:25:20Z","www.audible.com","No","Hawke","Purchase","Yes","unabridged","AccessViaMusic","Not Available","Not Available","2024-12-03T20:25:23Z","Active","Jescie Hall","Not Available"
"The Duke and I","729","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","The Duke and I","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B01LWTY1ID","Not Available","Yes","Recorded Books","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Rosalyn Landor","Not Available","2025-08-08T09:19:26Z","www.audible.com","No","The Duke and I","Not Available","Yes","unabridged","AccessViaMusic,AyceRomance","Not Available","Not Available","2024-04-18T16:59:12Z","Active","Julia Quinn","asin:B01A7RF7FI,title:Bridgertons"
"P.S. It's Always Been You: Part 2","152","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","P.S. It's Always Been You: Part 2","Alex","Product","Not Available","audiobook","AYCL","Not Available","B083QP35Z7","Not Available","No","Audible Originals","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Andi Arndt,Saskia Maarleveld,Zachary Webber,Scott Eastwood","Not Available","2025-08-07T13:30:52Z","www.audible.com","No","P.S. It's Always Been You: Part 2","Not Available","No","original_recording","AyceRomance,US Minerva","Not Available","Not Available","2024-04-15T06:10:32Z","Active","Lauren Blakely","asin:B083TD6Z9W,title:P.S. It's Always Been You"
"Drop, Cover, and Hold On","65","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","REDACTED","en","Drop, Cover, and Hold On","Alex","Product","Not Available","audiobook","PURCHASE","Not Available","B0CRVYD6KZ","Not Available","Yes","Amazon Original Stories","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Aure Nash","The Improbable Meet-Cute Collection","2025-08-07T10:53:10Z","www.audible.com","No","Drop, Cover, and Hold On","KindleUnlimited","Yes","unabridged","Not Available","The Improbable Meet-Cute Collection","Not Available","2024-03-11T07:13:21Z","Revoked","Jasmine Guillory","asin:B0CRSHQPXF,title:The Improbable Meet-Cute collection"
"P.S. It's Always Been You: Part 1","173","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","P.S. It's Always Been You: Part 1","Alex","Product","Not Available","audiobook","AYCL","Not Available","B083QPK6X9","Not Available","No","Audible Originals","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Andi Arndt,Scott Eastwood","Not Available","2025-08-06T16:06:22Z","www.audible.com","Yes","P.S. It's Always Been You: Part 1","Not Available","No","original_recording","US Minerva","Not Available","Not Available","2024-04-15T06:10:30Z","Active","Lauren Blakely","asin:B083TD6Z9W,title:P.S. It's Always Been You,asin:B07YX6BB55,title:Always Satisfied"
"Blurred Lines","363","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","Blurred Lines","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B017OBNT8W","Not Available","Yes","Tantor Audio","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Mason Lloyd,Allison Pike","Not Available","2025-08-05T13:14:08Z","www.audible.com","No","Blurred Lines","Not Available","Yes","unabridged","AccessViaMusic,AyceRomance","Not Available","Not Available","2024-11-01T21:05:58Z","Active","Lauren Layne","asin:B01LXL0YYH,title:Love Unexpectedly"
"Twisted Hate","900","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","D01-6920865-6870621","en","Twisted Hate","Alex","Product","Not Available","audiobook","PURCHASE","Not Available","B0B6GRLKR1","Not Available","Yes","Tantor Audio","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Cindy Kay,Aiden Snow","Twisted, Book 3","2025-07-29T15:17:07Z","www.audible.com","Yes","Twisted Hate","Purchase","Yes","unabridged","Not Available","Twisted, Book 3","Not Available","2024-03-01T12:56:18Z","Active","Ana Huang","asin:B0B1ZSMLQ2,title:Twisted"
"Unhinged","348","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","D01-0796064-4646636","en","Unhinged","Alex","Product","Not Available","audiobook","Not Available","Not Available","B0F8C72JJ2","Not Available","Yes","Blue Nose Publishing","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Marie Hawkins,Joe Arden,Corvin King,Anthony Palmini","A Dark Why-Choose Romance (Dance with My Demons, Book 1)","2025-07-26T22:51:44Z","www.audible.com","No","Unhinged","Purchase","Yes","unabridged","AccessViaMusic","A Dark Why-Choose Romance (Dance with My Demons, Book 1)","Not Available","2025-07-26T22:51:43Z","Active","Steph Macca","asin:B0F8JS6GMP,title:Dance with my Demons"
"The Accidental Dating Experiment","415","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","The Accidental Dating Experiment","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B0CY5SZ44G","Not Available","No","Audible Originals","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Andi Arndt,Jacob Morgan","Not Available","2025-07-24T13:42:52Z","www.audible.com","Yes","The Accidental Dating Experiment","Not Available","No","original_recording","US Minerva","Not Available","Not Available","2024-04-12T23:19:05Z","Active","Lauren Blakely","asin:B0CWB3GVWZ,title:How to Date"
"If the Sun Never Sets","516","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","If the Sun Never Sets","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B0BH6YH49B","Not Available","Yes","Tantor Audio","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Cindy Kay,Aiden Snow","If Love, Book 2","2025-07-22T14:24:44Z","www.audible.com","No","If the Sun Never Sets","Not Available","Yes","unabridged","AccessViaMusic","If Love, Book 2","Not Available","2024-08-08T12:38:45Z","Active","Ana Huang","asin:B0BH8XR7MQ,title:If Love"
"Puck Me Secretly","599","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","Puck Me Secretly","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","1977319556","Not Available","Yes","Tantor Audio","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Madeleine Dauer","Vancouver Wolves Hockey Romance Series, Book 1","2025-07-15T13:19:20Z","www.audible.com","No","Puck Me Secretly","Not Available","Yes","unabridged","AccessViaMusic","Vancouver Wolves Hockey Romance Series, Book 1","Not Available","2024-11-01T21:04:34Z","Active","Odette Stone","asin:B07RFT8Z21,title:Vancouver Wolves Hockey Romance"
"Killers of the Flower Moon","544","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","D01-9262251-1949017","en","Killers of the Flower Moon","Alex","Product","Not Available","audiobook","PURCHASE,PENDING","Not Available","B01NAEEJJV","Not Available","Yes","Random House Audio","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Will Patton,Ann Marie Lee,Danny Campbell","The Osage Murders and the Birth of the FBI","2025-07-10T17:53:38Z","www.audible.com","No","Killers of the Flower Moon","Purchase","Yes","unabridged","Not Available","The Osage Murders and the Birth of the FBI","Not Available","2023-10-09T15:46:38Z","Active","David Grann","Not Available"
"A Game of Fate","693","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","A Game of Fate","Alex","Product","Not Available","audiobook","AYCL","Not Available","1705276067","Not Available","Yes","Tantor Audio","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Tyler Donne","Hades Saga, Book 1","2025-07-08T14:12:43Z","www.audible.com","No","A Game of Fate","Not Available","Yes","unabridged","AccessViaMusic","Hades Saga, Book 1","Not Available","2024-07-08T21:42:35Z","Active","Scarlett St. Clair","asin:B08PNNHYQ2,title:Hades Saga"
"A Touch of Darkness","666","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","A Touch of Darkness","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","170523402X","Not Available","Yes","Tantor Audio","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Meg Sylvan","Hades & Persephone Series, Book 1","2025-07-08T14:10:59Z","www.audible.com","No","A Touch of Darkness","Not Available","Yes","unabridged","AccessViaMusic","Hades & Persephone Series, Book 1","Not Available","2024-07-08T12:08:35Z","Active","Scarlett St. Clair","asin:B08HZF6PH1,title:Hades & Persephone"
"A Game of Retribution","761","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","A Game of Retribution","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B09WZ7NL6D","Not Available","Yes","Tantor Audio","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Tyler Donne","Hades Saga, Book 2","2025-07-08T13:54:59Z","www.audible.com","No","A Game of Retribution","Not Available","Yes","unabridged","AccessViaMusic","Hades Saga, Book 2","Not Available","2024-07-10T21:28:56Z","Active","Scarlett St. Clair","asin:B08PNNHYQ2,title:Hades Saga"
"Same Time Next Year","254","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","REDACTED","en","Same Time Next Year","Alex","Product","Not Available","audiobook","PURCHASE","Not Available","B0CMKD88KV","Not Available","Yes","Amazon Original Stories","Not Available","Not Available","SinglePartBook","Not Available","Not Available","William LeRoy,Carmen Vine","A Novella","2025-07-07T07:41:12Z","www.audible.com","No","Same Time Next Year","KindleUnlimited","Yes","unabridged","Not Available","A Novella","Not Available","2024-03-11T07:10:53Z","Revoked","Tessa Bailey","Not Available"
"All Superheroes Need PR","760","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","REDACTED","en","All Superheroes Need PR","Alex","Product","Not Available","audiobook","Not Available","Not Available","B0DPNJ2HJB","Not Available","Yes","Brilliance Audio","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Dara Brown,Sean Bassett","Supers in the City","2025-07-06T13:42:37Z","www.audible.com","No","All Superheroes Need PR","KindleUnlimited","Yes","unabridged","AccessViaMusic","Supers in the City","Not Available","2025-06-25T23:40:25Z","Revoked","Elizabeth Stephens","asin:B0DPQDNLGV,title:Supers in the City"
"Corrupt","877","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","Yes","Not Available","Not Available","en","Corrupt","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B01CZ0WTEM","Not Available","Yes","Tantor Audio","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Tatiana Sokolov,Jeremy York","Not Available","2025-07-01T16:05:35Z","www.audible.com","No","Corrupt","Not Available","Yes","unabridged","AccessViaMusic,AyceRomance","Not Available","Not Available","2024-11-01T21:02:38Z","Active","Penelope Douglas","asin:B07DFCCY8L,title:Devil's Night"
"Kill Switch","1055","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","Kill Switch","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","1541407601","Not Available","Yes","Tantor Audio","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Tatiana Sokolov,Jeremy York","Devil's Night Series, Book 3","2025-07-01T15:58:08Z","www.audible.com","No","Kill Switch","Not Available","Yes","unabridged","AccessViaMusic","Devil's Night Series, Book 3","Not Available","2024-11-04T23:18:16Z","Active","Penelope Douglas","asin:B07DFCCY8L,title:Devil's Night"
"Hideaway","889","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","Hideaway","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B07DCZNS2F","Not Available","Yes","Tantor Audio","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Tatiana Sokolov,Jeremy York","Devil's Night Series, Book 2","2025-07-01T15:57:28Z","www.audible.com","No","Hideaway","Not Available","Yes","unabridged","AccessViaMusic,AyceRomance","Devil's Night Series, Book 2","Not Available","2024-11-03T17:26:04Z","Active","Penelope Douglas","asin:B07DFCCY8L,title:Devil's Night"
"Sweet Mercy","465","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","Sweet Mercy","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B09Z39MZ4F","Not Available","Yes","Tantor Audio","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Alex Kydd,Ada Sinclair","Empire Nightclub Series, Book 1","2025-07-01T14:17:03Z","www.audible.com","No","Sweet Mercy","Not Available","Yes","unabridged","AccessViaMusic","Empire Nightclub Series, Book 1","Not Available","2024-11-01T21:07:01Z","Active","K. A. Tucker","asin:B09Z6B8YNZ,title:Empire Nightclub"
"Sweet Talk","342","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","Sweet Talk","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B08YH4N5DY","Not Available","No","Audible Originals","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Lidia Dornet,Chris Brinkley","Not Available","2025-06-26T19:39:11Z","www.audible.com","Yes","Sweet Talk","Not Available","No","original_recording","US Minerva","Not Available","Not Available","2024-03-29T21:28:25Z","Active","Cara Bastone","asin:B08HR91YMW,title:Love Lines"
"Seatmate","310","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","Seatmate","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B09V3FZKGH","Not Available","No","Audible Originals","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Amanda Ronconi,Zachary Webber,Josh Hurley,Carol Monda,Corey Allen,Allyson Johnson,Eric Yves Garcia,Tanya Eby,Dina Pearlman","Love Lines, Book 3","2025-06-26T18:32:55Z","www.audible.com","No","Seatmate","Not Available","No","original_recording","US Minerva","Love Lines, Book 3","Not Available","2024-03-29T21:28:31Z","Active","Cara Bastone","asin:B08HR91YMW,title:Love Lines"
"A Game of Gods","994","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","Yes","Not Available","D01-2325819-1709016","en","A Game of Gods","Alex","Product","Not Available","audiobook","PURCHASE,PENDING","Not Available","B0C4LXH2V5","Not Available","Yes","Tantor Audio","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Tyler Donne","Hades Saga, Book 3","2025-06-13T02:33:12Z","www.audible.com","No","A Game of Gods","Purchase","Yes","unabridged","Not Available","Hades Saga, Book 3","Not Available","2024-07-13T03:34:16Z","Active","Scarlett St. Clair","asin:B08PNNHYQ2,title:Hades Saga"
"Billionaire for Sale","142","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","Billionaire for Sale","Alex","Product","Not Available","audiobook","AYCL","Not Available","B0F5ZM2WM3","Not Available","No","Audible Originals","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Cush Jumbo,full cast","Not Available","2025-06-08T00:46:19Z","www.audible.com","No","Billionaire for Sale","Not Available","No","original_recording","AccessViaMusic,US Minerva","Not Available","Not Available","2025-06-08T00:46:19Z","Active","Sarah Page","Not Available"
"The Fall Risk","108","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","REDACTED","en","The Fall Risk","Alex","Product","Not Available","audiobook","Not Available","Not Available","B0DS2VST1B","Not Available","Yes","Amazon Original Stories","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Julia Whelan,Connor Crais","A Short Story","2025-06-05T20:12:02Z","www.audible.com","No","The Fall Risk","KindleUnlimited","Yes","unabridged","AccessViaMusic","A Short Story","Not Available","2025-03-19T22:28:28Z","Revoked","Abby Jimenez","Not Available"
"Merriment and Mayhem","90","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","REDACTED","en","Merriment and Mayhem","Alex","Product","Not Available","audiobook","Not Available","Not Available","B0DKK2W3RK","Not Available","Yes","Amazon Original Stories","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Amelie Griffin","Under the Mistletoe Collection","2025-06-05T20:03:12Z","www.audible.com","No","Merriment and Mayhem","KindleUnlimited","Yes","unabridged","AccessViaMusic","Under the Mistletoe Collection","Not Available","2024-12-09T22:41:57Z","Revoked","Alexandria Bellefleur","asin:B0DKLJSQDX,title:Under the Mistletoe collection"
"A Court of Thorns and Roses (Part 1 of 2) (Dramatized Adaptation)","364","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","A Court of Thorns and Roses (Part 1 of 2) (Dramatized Adaptation)","Alex","Performance","Not Available","performance","AYCL,PENDING","Not Available","B09V5PW83R","Not Available","No","Graphic Audio LLC","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Bradley Foster Smith,Christopher Graybill,Eric Messner,Henry W. Kramer,Natalie Van Sistine,Debi Tinsley,Julie Hoverson,Gabriel Michael,Karen Foley,Karen Novack,Melody Muze,Alejandro Ruiz","A Court of Thorns and Roses, Book 1","2025-06-05T15:34:56Z","www.audible.com","No","A Court of Thorns and Roses (Part 1 of 2) (Dramatized Adaptation)","Not Available","No","original_recording","AccessViaMusic","A Court of Thorns and Roses, Book 1","Not Available","2024-10-15T04:00:20Z","Active","Sarah J. Maas","asin:B01DH5QNS2,title:A Court of Thorns and Roses"
"Merry Ever After","92","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","REDACTED","en","Merry Ever After","Alex","Product","Not Available","audiobook","Not Available","Not Available","B0DKK2615L","Not Available","Yes","Amazon Original Stories","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Summer Morton,Connor Crais","Under the Mistletoe Collection","2025-06-03T18:11:17Z","www.audible.com","No","Merry Ever After","KindleUnlimited","Yes","unabridged","AccessViaMusic","Under the Mistletoe Collection","Not Available","2024-12-09T22:41:52Z","Revoked","Tessa Bailey","asin:B0DKLJSQDX,title:Under the Mistletoe collection"
"Variation","911","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","REDACTED","en","Variation","Alex","Product","Not Available","audiobook","Not Available","Not Available","B0D1L1G3VN","Not Available","Yes","Brilliance Audio","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Teddy Hamilton,Carly Robins","A Novel","2025-06-03T17:59:43Z","www.audible.com","No","Variation","KindleUnlimited","Yes","unabridged","AccessViaMusic","A Novel","Not Available","2024-12-09T22:42:25Z","Revoked","Rebecca Yarros","Not Available"
"The Chase","627","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","D01-5019390-2502618","en","The Chase","Alex","Product","Not Available","audiobook","PENDING","Not Available","B07P7WSW79","Not Available","Yes","Audible Studios","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Jacob Morgan,CJ Bloom","Not Available","2025-06-03T16:17:03Z","www.audible.com","No","The Chase","Purchase","Yes","unabridged","AccessViaMusic","Not Available","Not Available","2024-12-06T20:50:55Z","Active","Elle Kennedy","asin:B07P61MK1F,title:Briar U"
"Cruel Winter with You","120","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","REDACTED","en","Cruel Winter with You","Alex","Product","Not Available","audiobook","Not Available","Not Available","B0DKK33QST","Not Available","Yes","Amazon Original Stories","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Vivienne LaRue","Under the Mistletoe Collection","2025-06-02T15:21:26Z","www.audible.com","No","Cruel Winter with You","KindleUnlimited","Yes","unabridged","AccessViaMusic","Under the Mistletoe Collection","Not Available","2024-12-09T22:41:37Z","Revoked","Ali Hazelwood","asin:B0DKLJSQDX,title:Under the Mistletoe collection"
"All by My Elf","88","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","REDACTED","en","All by My Elf","Alex","Product","Not Available","audiobook","Not Available","Not Available","B0DKK34V4N","Not Available","Yes","Amazon Original Stories","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Andi Arndt","Under the Mistletoe Collection","2025-06-02T12:33:09Z","www.audible.com","No","All by My Elf","KindleUnlimited","Yes","unabridged","AccessViaMusic","Under the Mistletoe Collection","Not Available","2024-12-09T22:41:57Z","Revoked","Olivia Dade","asin:B0DKLJSQDX,title:Under the Mistletoe collection"
"Only Santas in the Building","91","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","REDACTED","en","Only Santas in the Building","Alex","Product","Not Available","audiobook","Not Available","Not Available","B0DKK1YW7J","Not Available","Yes","Amazon Original Stories","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Ruby Corazon","Under the Mistletoe Collection","2025-06-02T12:24:25Z","www.audible.com","No","Only Santas in the Building","KindleUnlimited","Yes","unabridged","AccessViaMusic","Under the Mistletoe Collection","Not Available","2024-12-09T22:41:57Z","Revoked","Alexis Daria","asin:B0DKLJSQDX,title:Under the Mistletoe collection"
"American Prince","677","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","Yes","Not Available","Not Available","en","American Prince","Alex","Product","Not Available","audiobook","AYCL","Not Available","B071GW6MB7","Not Available","Yes","Tantor Audio","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Guy Locke,Stephanie Rose","American Queen Series, Book 2","2025-05-31T03:46:21Z","www.audible.com","No","American Prince","Not Available","Yes","unabridged","AyceRomance","American Queen Series, Book 2","Not Available","2024-04-19T11:39:01Z","Active","Sierra Simone","asin:B0721ZP8S9,title:American Queen Series"
"The Anatomy of Us","369","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","The Anatomy of Us","Alex","Product","Not Available","audiobook","AYCL","Not Available","B0F5BCHBXH","Not Available","No","Audible Originals","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Jessie Buckley","A Love Story","2025-05-30T02:39:41Z","www.audible.com","No","The Anatomy of Us","Not Available","No","original_recording","AccessViaMusic,US Minerva","A Love Story","Not Available","2025-05-30T02:39:41Z","Active","Leah Hazard","Not Available"
"Better Luck Next Time","290","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","Better Luck Next Time","Alex","Product","Not Available","audiobook","AYCL","Not Available","B0DXQXCCL8","Not Available","No","Audible Originals","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Mae Whitman,Colin Woodell,Josh Hurley,Cary Hite,Daniel Henning,Rebecca Stern,Richard Poe,Maria McCann,Art Brown,Petey Gibson,Tim Lounibos","Not Available","2025-05-30T02:39:06Z","www.audible.com","No","Better Luck Next Time","Not Available","No","original_recording","AccessViaMusic,US Minerva","Not Available","Not Available","2025-05-30T02:39:06Z","Active","Cara Bastone","Not Available"
"My Temptation","719","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","REDACTED","en","My Temptation","Alex","Product","Not Available","audiobook","Not Available","Not Available","B0C6YKDDK2","Not Available","Yes","Brilliance Audio","Not Available","Not Available","SinglePartBook","Not Available","Not Available","CJ Bloom,Marcio Catalano","Kingston Lane, Book 1","2025-05-28T19:42:06Z","www.audible.com","No","My Temptation","KindleUnlimited","Yes","unabridged","AccessViaMusic","Kingston Lane, Book 1","Not Available","2024-09-24T02:02:53Z","Revoked","T L Swan","asin:B0C745PRKL,title:Kingston Lane"
"Not Another Christmas Rom Com","367","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","Not Another Christmas Rom Com","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B0DKKJ8HR3","Not Available","No","Audible Originals","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Andi Arndt,Teddy Hamilton","Not Available","2025-05-28T19:22:39Z","www.audible.com","No","Not Another Christmas Rom Com","Not Available","No","original_recording","AccessViaMusic,US Minerva","Not Available","Not Available","2024-12-18T18:20:22Z","Active","A. J. Pine","Not Available"
"Burn for You","637","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","REDACTED","en","Burn for You","Alex","Product","Not Available","audiobook","Not Available","Not Available","B075VCGDC3","Not Available","Yes","Brilliance Audio","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Sebastian York,Diana Luke","Slow Burn, Book 1","2025-05-28T18:57:52Z","www.audible.com","No","Burn for You","KindleUnlimited","Yes","unabridged","AccessViaMusic","Slow Burn, Book 1","Not Available","2024-03-29T21:25:11Z","Revoked","J.T. Geissinger","asin:B07CLD1GQH,title:Slow Burn"
"Always a Bridesmaid","427","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","Always a Bridesmaid","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B0DTLPGW66","Not Available","No","Audible Originals","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Andrew Eiden,Krystal Hammond","Not Available","2025-05-28T18:55:09Z","www.audible.com","No","Always a Bridesmaid","Not Available","No","original_recording","AccessViaMusic,US Minerva","Not Available","Not Available","2025-02-07T21:21:01Z","Active","Erin Clark,Laura Lovely","Not Available"
