Recommended Book,Marketplace
"Pucked Off (The Pucked Series Book 6)",www.amazon.com
"The Path to Loving Him",www.amazon.com
"Sharp Objects: A Novel",www.amazon.com
"Just One Day",www.amazon.com
"Every Other Weekend",www.amazon.com
"Two Kinds of Stranger: The new Eddie Flynn thriller from the Top Five Sunday Times bestseller (Eddie Flynn Series)",www.amazon.com
"The Game Plan: A Neighbor from Hell (A Neighbor From Hell Series Book 5)",www.amazon.com
"Boyfriend: A Moo U Hockey Romance",www.amazon.com
"Mother Maker (The Momcoms Book 1)",www.amazon.com
"Next of Kin: A Foster Guardian's Romance (The Next Series)",www.amazon.com
"The Love Bandits: An Enemies-to-Lovers, Bad Boy Romantic Comedy (Unlucky in Love Book 2)",www.amazon.com
"Teasing (Red Lips & White Lies Book 5)",www.amazon.com
"Connor: A Small Town Billionaire Romance (The Billionaires of Whispers Book 3)",www.amazon.com
"Only on Gameday (Game On Book 5)",www.amazon.com
"Torment: Part One (The Bleeding Hearts Series Book 1)",www.amazon.com
"Rock Chick Revolution",www.amazon.com
"Dolls & Daggers: A Serial Killer Book Club Novel",www.amazon.com
"The Final Revival of Opal & Nev",www.amazon.com
"The Coincidence of Callie & Kayden",www.amazon.com
"The Girlfriend Zone (Love and Hockey Book 4)",www.amazon.com
"Bourbon and Secrets (The Bourbon Boys Series Book 2)",www.amazon.com
"Two Can Play",www.amazon.com
"Any Trope but You: A Novel",www.amazon.com
"A Visit from the Goon Squad: Pulitzer Prize Winner",www.amazon.com
"Story of My Life (Story Lake Book 1)",www.amazon.com
"White Oleander",www.amazon.com
"The Brief Wondrous Life of Oscar Wao (Pulitzer Prize Winner)",www.amazon.com
"These Summer Storms: A Novel",www.amazon.com
"The Fake: A College Sports Romance (Smart Jocks Book 4)",www.amazon.com
"Dashing All The Way: A Spicy Age Gap Holiday Romance",www.amazon.com
"Trouble : Boston Bolts Hockey",www.amazon.com
"Chasing Impossible: A Coming of Age YA Romance (Pushing the Limits)",www.amazon.com
"Dirty Together (The Dirty Billionaire Trilogy Book 3)",www.amazon.com
"The Women",www.amazon.com
"Wanderlove",www.amazon.com
"Verity",www.amazon.com
"Partner Track",www.amazon.com
"Love & Gelato",www.amazon.com
"Not My Kind of Hero",www.amazon.com
"The Bromance Book Club",www.amazon.com
"Fire & Brimstone: A Neighbor from Hell",www.amazon.com
"Grin and Beard It: A Small Town Romantic Comedy (Winston Brothers Book 2)",www.amazon.com
"The Soulmate Equation",www.amazon.com
"Only the Positive (Only You)",www.amazon.com
"While It Lasts (Sea Breeze Book 3)",www.amazon.com
"Snowballed: A Moo U Hockey Romance",www.amazon.com
"The Raven Room (The Raven Room Trilogy Book 1)",www.amazon.com
"Young Jane Young: A Novel",www.amazon.com
"You Deserve Each Other: The perfect escapist feel-good romance",www.amazon.com
"Every Summer After: Deluxe Edition",www.amazon.com
"Lucky Shot (Moonshot Hockey Book 1)",www.amazon.com
"Act Your Age, Eve Brown: A Novel (The Brown Sisters Book 3)",www.amazon.com
B08BFD5DLP,www.amazon.com
"The Starless Sea: A Novel",www.amazon.com
"Summer in the City (Deluxe Limited Edition): A Novel",www.amazon.com
"Pretty Girls: A Novel",www.amazon.com
"Her Saint: A Masked Stalker Romance (Saint and Sinner Duet Book 1)",www.amazon.com
"Presumed Guilty (Presumed Innocent)",www.amazon.com
"Let's Call a Truce: A Novel",www.amazon.com
"The Crown (The Selection Book 5)",www.amazon.com
"The Change Up",www.amazon.com
"Where We Found Our Home: The Lost & Found Series, Book 1",www.amazon.com
"Gratify",www.amazon.com
"Little Liar: A Dark Taboo Romance (The Web of Silence Duet Book 2)",www.amazon.com
"Saving the Rain (Crimson Ridge Book 4)",www.amazon.com
"The Geography of You and Me",www.amazon.com
"Faking Ms. Right: A Hot Romantic Comedy (Dirty Martini Running Club)",www.amazon.com
B0DNWP5645,www.amazon.com
"Anna and the French Kiss",www.amazon.com
"Just For Now (Sea Breeze Book 4)",www.amazon.com
"Heart of a Devil: A best friend's dad, age gap standalone romance",www.amazon.com
"So Much More",www.amazon.com
"Checkmate (Neighbor from Hell Book 4)",www.amazon.com
"Shipped",www.amazon.com
"Fighter's Best Friend (Crown Mma Romance)",www.amazon.com
"Love & Other Killers",www.amazon.com
"The Beginning of Everything",www.amazon.com
"Pictures of You",www.amazon.com
"The Charm Offensive: A Novel",www.amazon.com
"Give Me Butterflies: A Spicy STEM Romance with Nerdy Banter and Fiery Tension (Oaks Sisters Book 1)",www.amazon.com
"Burn for Me (Spitfire)",www.amazon.com
"Next In Line (Wait With Me Book 2)",www.amazon.com
"Reminders of Him: A Novel",www.amazon.com
"The Upside of Falling (The Blue Line Duet Book 1)",www.amazon.com
"My Silver Lining (Rosewood River Series Book 2)",www.amazon.com
"The House Guest: A Contemporary Romance",www.amazon.com
"Commonwealth",www.amazon.com
"Put Me in Detention",www.amazon.com
"Isn't It Bromantic? (Bromance Book Club)",www.amazon.com
"I Will Break You: A dark stalker romance (Pen Pal Duet Book 1)",www.amazon.com
"Saving the Rain (Crimson Ridge Book 4)",www.amazon.com
"Satisfying the Billionaire (The Carlson Dynasty Book 1)",www.amazon.com
"Limerence: A Dark Romance (Fated Fixation Book 1)",www.amazon.com
"Always and Forever, Lara Jean (To All the Boys I've Loved Before)",www.amazon.com
"One Bossy Proposal: An Enemies to Lovers Romance (Bossy Seattle Suits)",www.amazon.com
"Shots Fired (The Blade Kings Book 3)",www.amazon.com
"Falls Like Rain",www.amazon.com
"The Modern Gentleman",www.amazon.com
"Ripped (Real Book 5)",www.amazon.com
"Taming Seraphine (Morally Black Book 1)",www.amazon.com
"What Lovers Do",www.amazon.com
"Don't Be In Love",www.amazon.com
"Kings Distraction (King Dynasty Series)",www.amazon.com
"Something to Talk About: the perfect feel-good love story to escape with this year",www.amazon.com
"She's Mine Now (A Wedding Bells Alpha Novel Book 2)",www.amazon.com
"More Than Words: A Love Story",www.amazon.com
"Sins of Sevin",www.amazon.com
"Enticing (Red Lips & White Lies Book 3)",www.amazon.com
"Out on a Limb: A Novel",www.amazon.com
"Life and Death: Twilight Reimagined (The Twilight Saga)",www.amazon.com
"The Invisible Life of Addie LaRue",www.amazon.com
"The Book of Cold Cases",www.amazon.com
"Don't Let Me Down",www.amazon.com
"Hello Beautiful (Oprah's Book Club): A Novel",www.amazon.com
"The Last Song: Booktrack Edition",www.amazon.com
"The Tie That Binds: A Marriage of Convenience Novel",www.amazon.com
"Cherry Beats: A Rock Star Romance (Gods of Rock Book 1)",www.amazon.com
"Running Wild: A Novel (The Simple Wild Book 4)",www.amazon.com
"Bourbon and Lies (The Bourbon Boys Series)",www.amazon.com
"Rewriting Grey: A Small Town Romance (Copper Falls)",www.amazon.com
"Road Trip to Forever",www.amazon.com
"Between The Lines: WAWG Studios",www.amazon.com
"The Sweetest Remedy",www.amazon.com
"Why Not Both? (The Blue Vista Crew Book 1)",www.amazon.com
"Den of Vipers",www.amazon.com
"Sawyer (Lucky River Ranch Book 3)",www.amazon.com
"Theirs to Possess: A MFM Second Chance Romance (Club M)",www.amazon.com
"Thoroughly Pucked: A Brother's Best Friends Romance (My Hockey Romance Book 3)",www.amazon.com
"Under Your Scars: A Dark Romance Novel",www.amazon.com
"Only After We Met: Emotional new adult romance between fated star-crossed lovers",www.amazon.com
"Rush the Edge: A Brother's Best Friend Hockey Romance (Blue Devils Hockey Book 3)",www.amazon.com
"Strictly Not Yours (The Salinger Brothers Book 4)",www.amazon.com
"Promise Me Sunshine: A warm and emotional romance that will tug on your heartstrings",www.amazon.com
"Not Your Biggest Fan (Not Yours)",www.amazon.com
"The Situationship",www.amazon.com
"Bite Your Tongue (New England Bay Sharks Book 4)",www.amazon.com
"Beg, Borrow, or Steal: When in Rome, Book 3",www.amazon.com
"Always: Carter Kids #1.5",www.amazon.com
"Pride, Prejudice, and Other Flavors: A Novel (The Rajes Series, 1)",www.amazon.com
"The Right Swipe: swipe right on the perfect summer read of 2019",www.amazon.com
"Phantom",www.amazon.com
"The Locker Room",www.amazon.com
"Match Penalty: Coach's Daughter Hockey Romance (Rookie Hawkeyes Series Book 1)",www.amazon.com
"The Perfect Catch",www.amazon.com
"Remarkably Bright Creatures: A Novel",www.amazon.com
"Love Unwritten (Lakefront Billionaires Book 2)",www.amazon.com
"What I Thought Was True",www.amazon.com
"Beautiful Monster",www.amazon.com
"What If I Hate You (Anaheim Stars Hockey Series Book 6)",www.amazon.com
"I Could Be Yours (The Toronto Terror Series)",www.amazon.com
"Beautiful Venom: A Dark Hockey Romance (Vipers Book 1)",www.amazon.com
"Strictly Pleasure: A gorgeously swoony enemies to lovers romance to make you smile... (The Salinger Brothers Book 2)",www.amazon.com
"Bourbon and Proof (The Bourbon Boys Series Book 3)",www.amazon.com
"Real",www.amazon.com
"The Launch Date: A Hilarious Rivals-to-Lovers Romantic Comedy, Join the Fun and Find Your Match!",www.amazon.com
"Playing For Keeps (A Neighbor From Hell Series Book 1)",www.amazon.com
"Two Weeks Notice: A Spicy Office Romance",www.amazon.com
"Grumpy Darling: A Heartwarming YA Wholesome Slow-Burn Romance with First Kisses, Hockey, and a Happily Ever After (The Darling Devils Book 2)",www.amazon.com
"The Night Circus: A Novel",www.amazon.com
"My Favorite Half-Night Stand",www.amazon.com
"What Might Have Been",www.amazon.com
"The Switch: A Novel",www.amazon.com
"The Inheritance Games",www.amazon.com
"Once upon a Broken Heart",www.amazon.com
"Dante: A Dark Mafia, Enemies to Lovers Romance (Chicago Ruthless Book 1)",www.amazon.com
"Strictly Pretend (The Salinger Brothers Book 6)",www.amazon.com
"Wild Ever After: A Marriage of Convenience Sports Romance (Wildcat Hockey Book 3)",www.amazon.com
"Hate Mail: If you love The Hating Game and Icebreaker you’ll love this enemies to lovers romcom!",www.amazon.com
"Total Shutdown (The Blade Kings Book 2)",www.amazon.com
"Pumpkin (Dumplin')",www.amazon.com
"The Wedding Party (The Wedding Date Book 3)",www.amazon.com
"Hairpin Bridge: A Novel",www.amazon.com
"Musical Chairs: A Novel",www.amazon.com
"Maybe in Another Life: A Novel",www.amazon.com
"The Same Backward as Forward",www.amazon.com
"Breakaway Hearts",www.amazon.com
"Marriage and Murder: A Sexy, Small Town Cozy Mystery (Winston Brothers Book 6)",www.amazon.com
"Overruled",www.amazon.com
"Grim",www.amazon.com
"Breathe With Me (Playing For Keeps Book 5)",www.amazon.com
"Juicy Pickle: A Deserted Island with the Boss Romantic Comedy (The Pickle Cousins Book 1)",www.amazon.com
"Isla and the Happily Ever After",www.amazon.com
"Billionaire Grump: A Fake Relationship Romantic Comedy (Romcom Billionaire Standalones)",www.amazon.com
"Beard Science: A Small Town Romantic Comedy (Winston Brothers Book 3)",www.amazon.com
"Give Me Forever (The Maxwell Brothers)",www.amazon.com
"Dare to Love Me: An Opposites Attract Romance (Billionaire Brits)",www.amazon.com
"Run Posy Run",www.amazon.com
"My Return to the Walter Boys",www.amazon.com
"Chasing the Wild (Crimson Ridge Book 1)",www.amazon.com
"The Pucking Wrong Man: A Hockey Romance (The Pucking Wrong Series Book 4)",www.amazon.com
"Her Every Fear: A Novel",www.amazon.com
"Beyond the Blue Horizon (Moonlit Ridge Book 4)",www.amazon.com
"Your Fault (Culpable Book 2)",www.amazon.com
"The Fall (The Reluctant Romantics Book 1)",www.amazon.com
"That Forever Girl",www.amazon.com
"Collide",www.amazon.com
"Beautiful Broken Promises",www.amazon.com
"Addicted (Addicted Trilogy Book 1)",www.amazon.com
"Protecting What's His (A Line of Duty Book 1)",www.amazon.com
"In Good Company: An Ex's Brother Billionaire Romance (Pembroke Hills Book 1)",www.amazon.com
"To All the Boys I've Loved Before",www.amazon.com
"September Doves (Jackals and Vipers Duet, Book 1)",www.amazon.com
"Fighter (Sterling Falls Book 2)",www.amazon.com
"Meant to Be",www.amazon.com
"Dream On",www.amazon.com
"The Sweet Spot (Playing To Win Book 4)",www.amazon.com
"The Savage: A college sports romance (Boys of Richland Book 1)",www.amazon.com
"Love & Olives",www.amazon.com
"While We Were Dating (The Wedding Date Book 6)",www.amazon.com
"The Best Man: Unfinished Business (The Best Man Series)",www.amazon.com
"Maid for Each Other",www.amazon.com
"Penalty Shots: An Enemies to Lovers Hockey Romance (Heatwave Hockey Series)",www.amazon.com
"Love Heals (The Love Hurts Book 2)",www.amazon.com
"Revolve (Off the Ice Book 3)",www.amazon.com
"Party of Two (The Wedding Date Book 5)",www.amazon.com
"Everything, Everything (Movie Tie-in Edition)",www.amazon.com
"He's Not My Type (The Agitators Series Book 4)",www.amazon.com
"Sweet Like Sundays (Greenbrook Lovers Book 1)",www.amazon.com
"My Dark Fairy Tale (My Dark Mafia Romance)",www.amazon.com
"This Bird Has Flown: A Novel",www.amazon.com
"Public Relations: A Novel",www.amazon.com
"Duke (Lucky River Ranch Book 4)",www.amazon.com
"Room 212",www.amazon.com
"Portrait of a Scotsman (A League of Extraordinary Women Book 3)",www.amazon.com
"The Selection",www.amazon.com
"A Very Merry Bromance (Bromance Book Club)",www.amazon.com
"Forces of Nature (The Family Business Book 1)",www.amazon.com
"One Golden Summer",www.amazon.com
"My Life with the Walter Boys (Netflix Series Tie-In Edition)",www.amazon.com
"On the Rocks: An Age Gap, Small Town Romance (Becker Brothers)",www.amazon.com
"Heaven's Keep: A Novel (Cork O'Connor Mystery Series Book 9)",www.amazon.com
"Forever Wild: A Novella (The Simple Wild Book 3)",www.amazon.com
"The Do-Over",www.amazon.com
"Skin of a Sinner",www.amazon.com
"Nora Goes Off Script",www.amazon.com
"Savor It: A Spunes Novel",www.amazon.com
"Combat: A Bodyguard Romance (The Four Groomsmen of the Wedpocalypse Book 3)",www.amazon.com
"The Hating Game: A Novel",www.amazon.com
"Just Listen",www.amazon.com
"The Faking Game (The Billionaire Games Book 1)",www.amazon.com
"Icebound Hearts (Love and Hockey)",www.amazon.com
"Well Matched",www.amazon.com
"But How Are You, Really: A Novel",www.amazon.com
"Darling Venom: A Best Friend's Brother Romance",www.amazon.com
"Make Her Mine (Sapphire Falls Next Generation Book 1)",www.amazon.com
"Forever and Back (Life on the Ledge Duet Book 1)",www.amazon.com
"The Plot: A Novel (The Book Series, 1)",www.amazon.com
"Marrying Mr. Wrong: A Hot Romantic Comedy (Dirty Martini Running Club Book 3)",www.amazon.com
"Cruel Summer: A Mean Girls Inspired Revenge Romance (Season of Revenge Series Book 2)",www.amazon.com
"Satisfaction Guaranteed",www.amazon.com
"P.S. I Still Love You: Special Keepsake Edition (To All the Boys I've Loved Before)",www.amazon.com
"Weather Girl",www.amazon.com
"All Your Bloody Lies (The Filthy Duet Book 1)",www.amazon.com
"Bedrock: A Psychological Thriller",www.amazon.com
"Swift and Saddled: A Rebel Blue Ranch Novel",www.amazon.com
"Holdout: A Moo U Hockey Romance",www.amazon.com
"Goal Line (Boston Rebels Book 4)",www.amazon.com
"Vows We Never Made: A Grumpy Sunshine Romance",www.amazon.com
"Never",www.amazon.com
"House of Correction: A Novel",www.amazon.com
"Where The Tide Meets The Sand",www.amazon.com
"The Last Letter",www.amazon.com
"My Favorite Bad Decision (The Favorites Book 1)",www.amazon.com
"Sinners Anonymous : A Forbidden Love Dark Mafia Romance",www.amazon.com
"The Prodigal Son (The Goode Brothers)",www.amazon.com
"Klara and the Sun: A GMA Book Club Pick: A novel",www.amazon.com
"Sentinel: Satan's Disciples MC Book 1 (Satan's Disciples Motorcycle Club)",www.amazon.com
"My Favorite Lost Cause (The Favorites Book 2)",www.amazon.com
"Blocked Score: An Opposites Attract Hockey Romance (Sin Bin Stories)",www.amazon.com
"The Way We Win: A small-town, single-dad, football romance (The Bradford Boys)",www.amazon.com
"Wedding Dashers",www.amazon.com
"Massacre Monday: A Dark College Romance (Cult Campus)",www.amazon.com
"Conviction: A British Rock Star Romance",www.amazon.com
"Rocked by Love: Jillian Braden (A Braden - Bad Boys After Dark Crossover Novel) (The Bradens & Montgomerys: Pleasant Hill - Oak Falls Book 10)",www.amazon.com
"Full Tilt (Full Tilt Duet Book 1)",www.amazon.com
"Love Redesigned",www.amazon.com
"Alice Chen's Reality Check",www.amazon.com
"Sister Stardust",www.amazon.com
"The Roommate: the perfect feel-good sexy romcom for 2021",www.amazon.com
"Wild Side: Discover the number 1 Sunday Times bestseller and your newest small town romance obsession! (Rose Hill)",www.amazon.com
"Ryan Rule: New York Ruthless Book 1",www.amazon.com
"The Romantic Agenda",www.amazon.com
"Left of Forever: A Spunes Novel",www.amazon.com
"Redemption: Cowgirls Do It Better Volume One: A Forbidden, Enemies To Lovers, Small Town Ranch Romance",www.amazon.com
"Josh and Hazel's Guide to Not Dating",www.amazon.com
"The Jay Crownover Book Set 1: Featuring Rule, Jet, Rome (Marked Men)",www.amazon.com
"The Seven Husbands of Evelyn Hugo: A Novel",www.amazon.com
"Precious Hazard: An Arranged Marriage Mafia Romance (Perfectly Imperfect Book 11)",www.amazon.com
"Rogue (Real Book 4)",www.amazon.com
"Reclaiming Izabel",www.amazon.com
"Get a Life, Chloe Brown",www.amazon.com
"Right Man, Right Time (The Agitators Series Book 3)",www.amazon.com
"Ruthless Hunter: An Arranged Marriage Romance",www.amazon.com
"Nothing like the Movies",www.amazon.com
"Conjure: A Paranormal Erotic Horror",www.amazon.com
"When Summer Ends: A Novel",www.amazon.com
"One Day in December: Reese's Book Club: A Novel",www.amazon.com
"The Storied Life of A. J. Fikry: A Novel",www.amazon.com
"Dishonestly Yours (Webs We Weave)",www.amazon.com
"The Dating Plan",www.amazon.com
"Stuck with You",www.amazon.com
"What If I Knew You (Anaheim Stars Hockey Series Book 3)",www.amazon.com
"The Brothers Hawthorne (The Inheritance Games Book 4)",www.amazon.com
"The Virgin Replay: A Friends-To-Lovers, Fake Date Standalone Sports Romance (Rules of Love Book 3)",www.amazon.com
"Striking (Red Lips & White Lies Book 7)",www.amazon.com
"Attachments: A Novel",www.amazon.com
"When I Should've Stayed (Red Bridge Book 2)",www.amazon.com
"Better Than the Movies",www.amazon.com
"The Hawthorne Legacy (The Inheritance Games Book 2)",www.amazon.com
"Forever, Never, After (Forever Series Book 1)",www.amazon.com
"Lola and the Boy Next Door",www.amazon.com
"In You: A Pitch Black Psychological Thriller",www.amazon.com
"Five Feet Apart",www.amazon.com
"Summer Romance",www.amazon.com
"Behind the Camera: A Spicy Single Dad Sports Romance (Love through a Lens Book 3)",www.amazon.com
"Heartbreak Lover: A Bully Romance (Broken Hearts Academy Book 2)",www.amazon.com
"Pucking Strong: An MM Workplace Hockey Romance (Jacksonville Rays Book 4)",www.amazon.com
"Digging Dr Jones: The ultimate forced proximity romantic comedy adventure to escape with in 2025",www.amazon.com
"Betting on You",www.amazon.com
"The Emma Project: A Novel (The Rajes Series Book 4)",www.amazon.com
"Bratva Prince (Bratva Series Book 2)",www.amazon.com
"The History of Love: A Novel",www.amazon.com
"Pucking Hate You (RavenFall Hockey Series Book 2)",www.amazon.com
"Perfect Deke (The Blade Kings Book 1)",www.amazon.com
"Just One Night",www.amazon.com
"Here One Moment",www.amazon.com
"Redeem Me: A forbidden, hot single dad, billionaire romance (The Beckett Brothers Book 2)",www.amazon.com
"Crazy Stupid Bromance (Bromance Book Club)",www.amazon.com
"Daring the Defender : Wittmore U Hockey",www.amazon.com
"Broken Boy: An Enemies to lovers, Second Chance Romance (The Puck Boys of Brooks University Book 2)",www.amazon.com
"Breaking Giants: A Rockstar Romance (Breaking Love Book 1)",www.amazon.com
"The Way I Hate Him",www.amazon.com
"That Secret Crush (Getting Lucky Book 3)",www.amazon.com
"The Hundred Loves of Juliet",www.amazon.com
"The Gentleman's Gambit (A League of Extraordinary Women)",www.amazon.com
"Ugly Love: A Novel",www.amazon.com
"The Goldfinch: A Novel (Pulitzer Prize for Fiction)",www.amazon.com
"The Authenticity Project: A Novel",www.amazon.com
