"Product Name","ASIN","Ownership Type","Ownership Subtype"
"Caught Up (Windy City Book 3) (Windy City Series)","B0CKRXNDCF","Item Owner","KindleUnlimited"
"Funny Story","B0CCNBRNRQ","Item Owner","PublicLibraryLending"
"Variation: A Novel","B0D1LJ5DG6","Item Owner","KindleUnlimited"
"Variation: A Novel","B0CZ9VJV5F","Item Owner","KindleUnlimited"
"Saving 6 (Boys of Tommen Book 3)","B0C453T7BV","Item Owner","KindleUnlimited"
"Redeeming 6 (Boys of Tommen Book 4)","B0C451CF7Z","Item Owner","KindleUnlimited"
"Highest Bidder","B0872K48RW","Item Owner","KindleUnlimited"
"Theirs for the Night: (A MMF Romance) (Twisted Hearts)","B07DJPWWZT","Item Owner","KindleUnlimited"
"Forever Theirs: (A MMF Romance) (Twisted Hearts Book 1)","B07DP7HT14","Item Owner","KindleUnlimited"
"Trick Shot: A Spicy Christmas Novella (Brother Puckers Book 1)","B0CK55PS1P","Item Owner","KindleUnlimited"
"Butterfly: A dark college hockey romance (Tabb U Book 1)","B0D2PFVNXV","Item Owner","KindleUnlimited"
"Bound (Highest Bidder Book 5)","B0BNQV7L3T","Item Owner","KindleUnlimited"
"Not Available","B0DWTVHSR5","Not Interested","GR"
"Kingdom of Ash","B07J66Q8BM","Item Owner","Purchase"
"House of Sky and Breath (Crescent City)","B093WB84G1","Item Owner","Purchase"
"House of Earth and Blood (Crescent City Book 1)","B07QBC8QTP","Item Owner","Purchase"
"House of Flame and Shadow (Crescent City)","B0BY9M2C4X","Item Owner","Purchase"
"Tower of Dawn","B0759XMXLV","Item Owner","Purchase"
"Not Available","B089FCXRRB","Not Interested","GR"
"Empire of Storms","B01KIQV5EU","Item Owner","Purchase"
"Cruel Winter with You: Under the Mistletoe Collection","B0DKK242GB","Item Owner","KindleUnlimited"
"Merry Ever After: Under the Mistletoe Collection","B0DKK3382L","Item Owner","KindleUnlimited"
"Merriment and Mayhem: Under the Mistletoe Collection","B0DKK47K33","Item Owner","KindleUnlimited"
"Only Santas in the Building: Under the Mistletoe Collection","B0DKK2X9ZX","Item Owner","KindleUnlimited"
"All by My Elf: Under the Mistletoe Collection","B0DKK2KLKW","Item Owner","KindleUnlimited"
"Cruel Winter with You (Under the Mistletoe collection)","B0D9KNVB11","Item Owner","KindleUnlimited"
"Merry Ever After (Under the Mistletoe collection)","B0D9KL14L4","Item Owner","KindleUnlimited"
"All by My Elf (Under the Mistletoe collection)","B0D9KJMVRB","Item Owner","KindleUnlimited"
"Merriment and Mayhem (Under the Mistletoe collection)","B0DH8KCRSL","Item Owner","KindleUnlimited"
"Only Santas in the Building (Under the Mistletoe collection)","B0DFCV9VB4","Item Owner","KindleUnlimited"
"Season's Schemings: A Holiday Hockey Rom Com (Cyclones Christmas Book 1)","B0CN25HCG7","Item Owner","KindleUnlimited"
"Holiday Hostilities : A Festive Hockey Rom Com (Cyclones Christmas Book 2)","B0DJM93XSS","Item Owner","KindleUnlimited"
"A Worthy Opponent (Wicked Villains Book 3)","B07X8Z1QSQ","Not Interested","GR"
"Learn My Lesson (Wicked Villains Book 2)","B07VZDCG1G","Not Interested","GR"
"Desperate Measures (Deluxe Edition) (Wicked Villains, 1)","1464227993","Not Interested","GR"
"Queen of Shadows","B012BQ4GQE","Item Owner","Purchase"
"The Naughty, the Nice and the Nanny: Holiday Brothers, Book 1","B09WJCKRSH","Item Owner","AudiblePlus"
"How to Lose a Guy Before Christmas","B0CMYRQZ4L","Item Owner","AudiblePlus"
"Not Another Christmas Rom Com","B0DKKMQ1VC","Item Owner","AudiblePlus"
"Taming 7 (Boys of Tommen Book 5)","B0CFD5NCP9","Item Owner","Purchase"
"Puck Me Secretly (A Vancouver Wolves Hockey Romance Book 1)","B07JH7ZKVX","Item Owner","KindleUnlimited"
"Forget Your Morals: A Forbidden Secret Romance (The Carlson Brothers)","B0C6JG3XJB","Item Owner","KindleUnlimited"
"Binding 13 (Boys of Tommen Book 1)","B0C44DX85D","Item Owner","KindleUnlimited"
"Keeping 13 (Boys of Tommen Book 2)","B0C44CFZPD","Item Owner","KindleUnlimited"
"The Deal","B00TG1CZFC","Item Owner","KindleUnlimited"
"The Mistake (Off-Campus Book 2)","B00WASWK7Q","Item Owner","KindleUnlimited"
"The Score (Off-Campus Book 3)","B016VQCFO0","Item Owner","KindleUnlimited"
"The Goal (Off-Campus Book 4)","B01FTC8I84","Item Owner","KindleUnlimited"
"The Legacy (Off-Campus Book 5)","B0918YYH5S","Item Owner","KindleUnlimited"
"The Chase: A Grumpy Sunshine College Hockey Romance (Briar U Book 1)","B07G6M9HDV","Item Owner","KindleUnlimited"
"The Words: An Enemies-to-Lovers Standalone Romance","B091N9KW8N","Item Owner","KindleUnlimited"
"The Risk (Briar U Book 2)","B07G4H3665","Item Owner","KindleUnlimited"
"The Choice : Star-Crossed Lovers Duet (Book 1)","B0BHD7D1HL","Item Owner","KindleUnlimited"
"The Words","B09ZVJMLS1","Item Owner","Purchase"
"The Chase","B07P91NJHB","Item Owner","Purchase"
"Burn for You: Slow Burn, Book 1","B075VBLPVP","Item Owner","KindleUnlimited"
"Burn for You (Slow Burn Book 1)","B06XWR6BC3","Item Owner","KindleUnlimited"
"Mother Faker","B0CGXN3K5V","Item Owner","KindleUnlimited"
"My Dark Romeo: An Enemies-to-Lovers Romance (Dark Prince Road)","B0BXQP63XL","Item Owner","KindleUnlimited"
"The Fixer Upper: The TOP TEN BESTSELLING romantic comedy from Phoebe MacLeod","B0CMH968CY","Item Owner","KindleUnlimited"
"After (The After Series Book 1)","B00L01GJBM","Item Owner","KindleUnlimited"
"The Kiss Thief: An Arranged Marriage Romance","B07MLR5WY6","Item Owner","KindleUnlimited"
"Dirty Talk (Pushing Boundaries Book 1)","B078N6643J","Item Owner","KindleUnlimited"
"It Happened One Summer: A Spicy Rom-Com Featuring a Wild Child Socialite, a Small-Town Grumpy Fisherman, and the Undeniable Attraction Between Them (Bellinger Sisters Book 1)","B08L3NHJ88","Item Owner","KindleUnlimited"
"First Flight, Final Fall: A College Soccer Romance (Kluvberg Book 1)","B0CWJ2GTF3","Item Owner","KindleUnlimited"
"All The Wrong Plays (Kluvberg Book 2)","B0CNNV2G3J","Item Owner","KindleUnlimited"
"Taming Mr. Walker: An Enemies to Lovers Office Romance (The London Mister Series Book 1)","B09NJG1KGK","Item Owner","KindleUnlimited"
"Resisting Mr. Kane: An Age Gap Office Romance (The London Mister Series Book 2)","B09X3DKLSZ","Item Owner","KindleUnlimited"
"Fighting Mr. Knight: A Billionaire Office Romance (The London Mister Series Book 3)","B0BBB7VQFM","Item Owner","KindleUnlimited"
"HAWKE","B0BKTXQPXR","Item Owner","KindleUnlimited"
"King of Sloth (Kings of Sin, 4)","1728289750","Not Interested","GR"
"Hawke","B0CQPJ3N43","Item Owner","Purchase"
"Dude in Distress","B08X5QL461","Item Owner","AudiblePlus"
"Lights Out: An Into Darkness Novel","B0D7WYQ5X3","Item Owner","Purchase"
"Assistant to the Villain (Assistant and the Villain Book 1)","B0BYM2LJDX","Item Owner","KindleUnlimited"
"Prey Tell (Ravaged Castle)","B0BQ79WJLC","Item Owner","KindleUnlimited"
"Marry Lies (Ravaged Castle)","B0C5MX4PK7","Item Owner","KindleUnlimited"
"Ward Willing (Ravaged Castle)","B0CDTXRNWY","Item Owner","KindleUnlimited"
"Masked Sins (Ravaged Castle)","B0DGQMHV4C","Item Owner","KindleUnlimited"
"Truly Madly Deeply: A Grumpy x Sunshine Romance (Forbidden Love Book 1)","B0CV2Y8CQC","Item Owner","KindleUnlimited"
"How My Neighbor Stole Christmas","B0CX82WQ5Q","Item Owner","KindleUnlimited"
"The Striker (Gods of the Game Book 1)","B0CR19MXKV","Item Owner","KindleUnlimited"
"The Assassin's Blade: The Throne of Glass Prequel Novellas (Throne Of Glass Series)","B00H45XC5O","Item Owner","Purchase"
"Lights Out: An Into Darkness Novel","B0D2GST88W","Item Owner","Purchase"
"Kingdom of Ash (Throne of Glass Book 7)","B079JYG6D4","Item Owner","Purchase"
"Tower of Dawn (Throne of Glass Book 6)","B01M8NHXGH","Item Owner","Purchase"
"Empire of Storms (Throne Of Glass Series Book 5)","B01ANM7GJC","Item Owner","Purchase"
"Queen of Shadows (Throne of Glass Book 4)","B00TU3BTUI","Item Owner","Purchase"
"Heir of Fire (Throne of Glass Book 3)","B00I43Z1J0","Item Owner","Purchase"
"Crown of Midnight (Throne of Glass Book 2)","B00CU7YHQY","Item Owner","Purchase"
"Throne of Glass","B007N6JEII","Item Owner","Purchase"
"Too Much : Hayes Brothers Book 1","B0B5NMN9XQ","Item Owner","KindleUnlimited"
"Too Sweet: Hayes Brothers Book 3","B0BKTCYCJ1","Item Owner","KindleUnlimited"
"Too Hard: Hayes Brothers Book 5","B0C35K5GRL","Item Owner","KindleUnlimited"
"Corrupt (Devil's Night Book 1)","B0181ONKDU","Item Owner","KindleUnlimited"
"Hideaway (Devil's Night Book 2)","B0763NXSM7","Item Owner","KindleUnlimited"
"Kill Switch (Devil's Night Book 3)","B07NK59922","Item Owner","KindleUnlimited"
"Conclave: Devil's Night 3.5","B081XD3QXJ","Item Owner","KindleUnlimited"
"Nightfall (Devil's Night Book 4)","B089H1D5V6","Item Owner","KindleUnlimited"
"Fire Night: Devil's Night 4.5","B08PTD2GFJ","Item Owner","KindleUnlimited"
"Falling: A Fake Dating College Hockey Romance (North University Book 1)","B0CXKKC82X","Item Owner","KindleUnlimited"
"God of Wrath: A Dark Enemies to Lovers Romance (Legacy of Gods Book 3)","B0BDSC5C7P","Item Owner","KindleUnlimited"
"Too Wrong: Hayes Brothers Book 2","B0BBNK34MY","Item Owner","KindleUnlimited"
"Too Strong: Hayes Brothers Book 4","B0BSXMNJ8C","Item Owner","KindleUnlimited"
"Too Long: Hayes Brothers Book 6","B0CB4B21KB","Item Owner","KindleUnlimited"
"If This Was a Movie: A Single Dad Nanny Christmas Romantic Comedy (Evergreen Park Book 2)","B0D4W772V5","Item Owner","KindleUnlimited"
"Kill Switch: Devil's Night Series, Book 3","B07VGN9SN9","Item Owner","AudiblePlus"
"Hideaway: Devil's Night Series, Book 2","B07DD147Y7","Item Owner","AudiblePlus"
"Sweet Mercy: Empire Nightclub Series, Book 1","B09Z39WVGD","Item Owner","AudiblePlus"
"Blurred Lines","B017OCOTRQ","Item Owner","AudiblePlus"
"Puck Me Secretly: Vancouver Wolves Hockey Romance Series, Book 1","B07RKYHXGN","Item Owner","AudiblePlus"
"Pretty Little Savage: Sick Boys, Book 1","B08T3CWFPZ","Item Owner","AudiblePlus"
"Corrupt","B01D0A3TTU","Item Owner","AudiblePlus"
"Drop Dead","B0D6HGBMBL","Item Owner","AudiblePlus"
"God of Ruin: A Dark College Romance (Legacy of Gods Book 4)","B0BM7X9WFJ","Item Owner","KindleUnlimited"
"God of Fury: A Dark MM College Romance (Legacy of Gods Book 5)","B0CGJJTBKJ","Item Owner","KindleUnlimited"
"God of War: An Enemies to Lovers Marriage Romance (Legacy of Gods Book 6)","B0CPD3911D","Item Owner","KindleUnlimited"
"Snapshot (Lessons in Love)","B0CVRZZV88","Item Owner","KindleUnlimited"
"The Sweetest Oblivion (Made Book 1)","B07DS4TZ93","Item Owner","KindleUnlimited"
"The Maddest Obsession (Made Book 2)","B07QQLW215","Item Owner","KindleUnlimited"
"The Darkest Temptation (Made Book 3)","B08QDJX3VB","Item Owner","KindleUnlimited"
"Not Available","B0DWW19V9T","Not Interested","GR"
"Not Available","B0DVBJC33D","Not Interested","GR"
"Priest: A Love Story","B00WHGBTHI","Item Owner","KindleUnlimited"
"The Ritual: A Dark College Romance","B09H7Q4B74","Item Owner","KindleUnlimited"
"The Sinner: A Dark College Romance","B0BDZ2M91F","Item Owner","KindleUnlimited"
"The Sacrifice: A Dark Revenge Romance","B0BNFRLH91","Item Owner","KindleUnlimited"
"Carnage: A Dark Revenge Romance","B0C1D5SZW4","Item Owner","KindleUnlimited"
"Sabotage: A Dark Enemies to Lovers Romance","B09V2J7P9F","Item Owner","KindleUnlimited"
"Madness: A Dark Revenge Romance","B0CR7FCTF2","Item Owner","KindleUnlimited"
"God of Malice: A Dark College Romance (Legacy of Gods Book 1)","B09Z9K12P2","Item Owner","KindleUnlimited"
"Code of Silence: A Mafia Romance (The Dark Kingdom Book 1)","B083C3VKPW","Item Owner","KindleUnlimited"
"God of Pain: A Grumpy Sunshine College Romance (Legacy of Gods Book 2)","B0B64FCB23","Item Owner","KindleUnlimited"
"Not Available","B0DWW3TJD4","Not Interested","GR"
"A Court of Thorns and Roses (Part 1 of 2) (Dramatized Adaptation): A Court of Thorns and Roses, Book 1","B09V5QH7GL","Item Owner","AudiblePlus"
"A Court of Thorns and Roses","B00OZP5VRS","Item Owner","Purchase"
"A Court of Silver Flames (A Court of Thorns and Roses Book 5)","B08CHNCDN5","Item Owner","Purchase"
"A Court of Frost and Starlight (A Court of Thorns and Roses Book 4)","B075818VDG","Item Owner","Purchase"
"A Court of Wings and Ruin (A Court of Thorns and Roses Book 3)","B01LOWN78Y","Item Owner","Purchase"
"A Court of Mist and Fury (A Court of Thorns and Roses Book 2)","B015FELXQ0","Item Owner","Purchase"
"Pen Pal","B0CKLQ12NB","Item Owner","KindleUnlimited"
"Not Available","B0DWW31TXT","Not Interested","GR"
"Say You Swear","B09SS8VQD6","Item Owner","KindleUnlimited"
"Not So Merry Memories","B0BNQYVMCD","Item Owner","KindleUnlimited"
"The Deal Dilemma","B0BG8HC2NG","Item Owner","KindleUnlimited"
"Dirty Curve","B09CP3FR9K","Item Owner","KindleUnlimited"
"Fumbled Hearts (A Fumbled Futures Novel Book 1)","B075CW598Y","Item Owner","KindleUnlimited"
"Promise Me Not","B0D6MG4KFQ","Item Owner","KindleUnlimited"
"Fake It 'Til You Break It","B084HGL8J7","Item Owner","KindleUnlimited"
"Fumbled Futures: A Sports Romance Collection","B09QJZHVQT","Item Owner","KindleUnlimited"
"Defenseless Hearts (A Fumbled Futures Novel Book 2)","B07D7Q29LQ","Item Owner","KindleUnlimited"
"A Court of Thorns and Roses","B00WXS68T4","Item Owner","AudiblePlus"
"Defenseless Hearts: A Tender Hearts Novel, Book 2","B08P3Q8JM2","Item Owner","AudiblePlus"
"Mr. Hook-up: Hooked, Book 1","B0C6YML8GD","Item Owner","KindleUnlimited"
"My Temptation: Kingston Lane, Book 1","B0C6YMBQMG","Item Owner","KindleUnlimited"
"My Rules: Kingston Lane, Book 2","B0DBNCH6Z9","Item Owner","KindleUnlimited"
"The Playboy (Spade Hotel Series Book 1)","B0C1R1XL57","Item Owner","KindleUnlimited"
"The Lawyer (The Dalton Family Book 1)","B095KMNDSW","Item Owner","KindleUnlimited"
"Signed (The Agency Series Book 1)","B0797DCN67","Item Owner","KindleUnlimited"
"The Billionaire (The Dalton Family Book 2)","B09FS8PZMQ","Item Owner","KindleUnlimited"
"The Single Dad (The Dalton Family Book 3)","B09FSFGM8C","Item Owner","KindleUnlimited"
"The Intern (The Dalton Family Book 4)","B09SZKVFMG","Item Owner","KindleUnlimited"
"The Bachelor (The Dalton Family Book 5)","B0B33WTCMT","Item Owner","KindleUnlimited"
"Mr. Hook-up (Hooked Book 1)","B0BYFW12CT","Item Owner","KindleUnlimited"
"My Rules (Kingston Lane Book 2)","B0D4YYKBC7","Item Owner","KindleUnlimited"
"My Temptation (Kingston Lane Book 1)","B0BTJCWKRC","Item Owner","KindleUnlimited"
"Stand and Defend (Lakes Hockey Series Book 4)","B0CPTB4FTY","Item Owner","KindleUnlimited"
"Pucking Sweet: An MMF Workplace Hockey Romance (Jacksonville Rays Book 3)","B0D5YPRZHB","Item Owner","Purchase"
"Before We Came: A Brother's Best Friend Hockey Romance (Lakes Hockey Book 1) (Lakes Hockey Series)","B0BP7DM1VD","Item Owner","KindleUnlimited"
"Strong and Wild (Lakes Hockey Series Book 2)","B0C3WPY9S1","Item Owner","KindleUnlimited"
"In The Game: A Secret Baby Hockey Romance (Lakes Hockey Series Book 3)","B0CGXWSG9D","Item Owner","KindleUnlimited"
"A Shadow In The Reaping (The Shadow Realm Book 1)","B09G6YLDQ5","Item Owner","KindleUnlimited"
"In a Jam (Friendship, RI Book 1)","B0BFW44657","Item Owner","KindleUnlimited"
"The Bonus","B0D9QBHRNT","Item Owner","KindleUnlimited"
"My Office Rival (Keep Your Enemy Closer)","B0CHGNRP6M","Item Owner","KindleUnlimited"
"Bridesmaid Undercover","B0CW18879C","Item Owner","KindleUnlimited"
"The Rom-Commers: A Novel","B0CGS1BTDH","Item Owner","KindleUnlimited"
"Passenger Princess: A Grumpy Sunshine Bodyguard Pageant Queen Romance (Evergreen Park Book 1)","B0D4FTPPN4","Item Owner","KindleUnlimited"
"The Anti-hero (The Goode Brothers)","B0C28VD15F","Item Owner","KindleUnlimited"
"Shucked (The Loew Brothers Book 1)","B0CBSH3BXT","Item Owner","KindleUnlimited"
"The Happy Ever After Playlist (The Friend Zone Book 2)","B07W54QG2X","Item Owner","KindleUnlimited"
"Mercy (Salacious Players' Club)","B09NJFBWVR","Item Owner","KindleUnlimited"
"Highest Bidder (Salacious Players' Club)","B0BCWZHGW6","Item Owner","KindleUnlimited"
"Madame (Salacious Players' Club)","B0BMVKB15H","Item Owner","KindleUnlimited"
"Change of Heart","B0D24DBDW4","Item Owner","KindleUnlimited"
"One Wealthy Wedding: A Marriage of Convenience Romance (Kings Lane Billionaires)","B0DDJXD72B","Item Owner","KindleUnlimited"
"One Rich Revenge (Kings Lane Billionaires)","B0CZKKHB94","Item Owner","KindleUnlimited"
"One Billion Reasons (Kings Lane Billionaires)","B0CPHK75WH","Item Owner","KindleUnlimited"
"Not Available","B0DWW9W6J4","Not Interested","GR"
"If We Ever Meet Again (If Love Book 1)","B087WWR8YT","Item Owner","KindleUnlimited"
"Eyes on Me (Salacious Players' Club)","B09NHPZZS5","Item Owner","KindleUnlimited"
"Give Me More (Salacious Players' Club)","B09NJGSCXW","Item Owner","KindleUnlimited"
"Forget Me Not","B0B6V8WKN5","Item Owner","KindleUnlimited"
"If the Sun Never Sets (If Love Book 2)","B089G7T55M","Item Owner","KindleUnlimited"
"Black Ties and White Lies: A Billionaire Fake Engagement Romance (Black Tie Billionaires)","B0BHL1JX9P","Item Owner","KindleUnlimited"
"If We Were Perfect (If Love Book 4)","B08HYD8NY3","Item Owner","KindleUnlimited"
"If Love Had A Price","B08DFMFLTG","Item Owner","KindleUnlimited"
"Final Offer (Dreamland Billionaires Book 3)","B0B83315PM","Item Owner","KindleUnlimited"
"The Fine Print (Dreamland Billionaires Book 1)","B093DQNY17","Item Owner","KindleUnlimited"
"Terms and Conditions (Dreamland Billionaires Book 2)","B09PTXQL3J","Item Owner","KindleUnlimited"
"Not Available","B0DWVV8YYF","Not Interested","GR"
"Not Available","B0DWVZFP85","Not Interested","GR"
"Not Available","B0DWVK46RV","Not Interested","GR"
"If the Sun Never Sets: If Love, Book 2","B0BH6SGYKF","Item Owner","AudiblePlus"
"Yours Truly","B0B8YVRMW4","Item Owner","KindleUnlimited"
"The Long Game: A Novel (The Green Oak Series)","B0BTZ8VWJ8","Item Owner","KindleUnlimited"
"So This Is War","B0CSGN4238","Item Owner","KindleUnlimited"
"Things We Hide from the Light (Knockemout Book 2)","B0BB64ZRMW","Item Owner","KindleUnlimited"
"This Life and All the Rest (Next Life Book 2)","B0BLHPJ58D","Item Owner","KindleUnlimited"
"The Love You Fight For (Next Life Book 3)","B0CV4M7NSN","Item Owner","KindleUnlimited"
"Eyes on Me","B0DWW165R6","Not Interested","GR"
"From Lukov with Love","B079JF4D4S","Item Owner","KindleUnlimited"
"Things We Never Got Over (Knockemout Book 1)","B09PNM8FFN","Item Owner","KindleUnlimited"
"King of Wrath (Kings of Sin Book 1)","B0B36FKPS8","Item Owner","KindleUnlimited"
"Kulti","B00V12L3CU","Item Owner","KindleUnlimited"
"The American Roommate Experiment: A Novel (The Love Deception Series)","B09Q9WSZ9G","Item Owner","KindleUnlimited"
"The Unhoneymooners","B07MGS7HF1","Item Owner","KindleUnlimited"
"The Rebound: The Rebound, Book 1","B0BSXKDWS8","Item Owner","AudiblePlus"
"A Touch of Darkness (Hades x Persephone Saga Book 1)","B09C2PWWNP","Item Owner","KindleUnlimited"
"Kismet: A Grumpy/Sunshine Standalone Office Romance (Happy Endings Book 3)","B09B393F1L","Item Owner","KindleUnlimited"
"A Game of Fate (Hades x Persephone Saga Book 2)","B09F6SYVBR","Item Owner","KindleUnlimited"
"A Touch of Ruin (Hades x Persephone Saga Book 3)","B09D8Q2D9L","Item Owner","KindleUnlimited"
"A Game of Retribution (Hades x Persephone Saga Book 4)","B09GL14D21","Item Owner","KindleUnlimited"
"A Touch of Malice (Hades x Persephone Saga Book 5)","B09DFCYN4V","Item Owner","KindleUnlimited"
"A Game of Gods (Hades x Persephone Saga Book 6)","B0BTV12H8V","Item Owner","KindleUnlimited"
"A Game of Gods: Hades Saga, Book 3","B0C4LZ8PG1","Item Owner","Purchase"
"A Touch of Malice: Hades & Persephone, Book 3","B09CHCR1PR","Not Interested","LI"
"A Game of Retribution: Hades Saga, Book 2","B09WZ9K8CC","Item Owner","AudiblePlus"
"A Touch of Ruin: Hades & Persephone, Book 2","B08LDZRF5M","Item Owner","AudiblePlus"
"Not Available","B0DWW1Y8M2","Not Interested","GR"
"A Game of Fate: Hades Saga, Book 1","B08PMYK8HJ","Item Owner","AudiblePlus"
"Hooked: The Never After Series, Book 1","B09K2M1Q9N","Item Owner","AudiblePlus"
"A Touch of Darkness: Hades & Persephone Series, Book 1","B08BDH7FPQ","Item Owner","AudiblePlus"
"Leather & Lark: The Ruinous Love, Book 2","B0CQTP4B5R","Item Owner","Purchase"
"Leather & Lark: The Ruinous Love Trilogy","B0CNGBQRC5","Item Owner","Purchase"
"She Comes First: The Thinking Man's Guide to Pleasuring a Woman (Kerner)","B000FC1PRK","Item Owner","KindleUnlimited"
"Bridesmaid For Hire","B0CFCRR7Y4","Item Owner","KindleUnlimited"
"Pucking Ever After: Volume 2 (Jacksonville Rays)","B0CNWR8F16","Item Owner","KindleUnlimited"
"Pucking Wild: A Reverse Age Gap Hockey Romance (Jacksonville Rays Book 2)","B0BXMJDB4C","Item Owner","KindleUnlimited"
"Red, White & Royal Blue: A Novel","B07J4LPZRN","Item Owner","KindleUnlimited"
"King of Pride (Kings of Sin Book 2)","B0BJ7X6M16","Item Owner","KindleUnlimited"
"King of Greed (Kings of Sin Book 3)","B0C13VFWML","Item Owner","KindleUnlimited"
"King of Sloth (Kings of Sin Book 4)","B0CJ68GRM1","Item Owner","KindleUnlimited"
"King of Sloth: Kings of Sin, Book 4","B0D26K47Y9","Item Owner","Purchase"
"King of Greed: Kings of Sin, Book 3","B0CM6QNPYN","Item Owner","Purchase"
"King of Pride: Kings of Sin, Book 2","B0C7CZ18PG","Item Owner","Purchase"
"King of Wrath: Kings of Sin","B0BZQJ8C1B","Item Owner","Purchase"
"Not Available","B0DWVX325B","Not Interested","GR"
"Dead to You","B0076G21US","Not Interested","LI"
"Pucking Sweet: An MMF Workplace Hockey Romance (Jacksonville Rays Book 3)","B0CF7SK2SP","Not Interested","RC"
"Red, White & Royal Blue: A Novel","B07HMB6RFD","Not Interested","LI"
"Bridgerton: The Duke and I (Bridgertons Book 1)","B00UG8RP8Q","Item Owner","KindleUnlimited"
"Pucking Around: A Why Choose Hockey Romance (Jacksonville Rays Book 1)","B0BPVJ4RVR","Item Owner","KindleUnlimited"
"The Idea of You: A Novel","B01MQLZ12X","Item Owner","KindleUnlimited"
"Pucking Ever After: Volume 1 (Jacksonville Rays)","B0C2JYSCLX","Item Owner","KindleUnlimited"
"That One Night: A Pucking Around Prequel Novella (Jacksonville Rays)","B0BSVL9789","Item Owner","KindleUnlimited"
"The Idea of You","B07BN1CZ6J","Item Owner","AudiblePlus"
"Found in You (Fixed Book 2)","B00FIOHII0","Item Owner","KindleUnlimited"
"Forever with You (Fixed Book 3)","B00HLU14CA","Item Owner","KindleUnlimited"
"Hudson (Fixed Book 4)","B00IUS9FOG","Item Owner","KindleUnlimited"
"Fixed Forever","B074N6J64B","Item Owner","KindleUnlimited"
"Hudson","B00N1YRYGU","Item Owner","Purchase"
"Forever with You","B00JG5TMAO","Item Owner","Purchase"
"Found in You","B00JG4CTVO","Item Owner","Purchase"
"Fixed on You","B00IFVAAGA","Item Owner","KindleUnlimited"
"Royally In Trouble: A Royal Romance Duet (Not Really Royal Book 2)","B0B89YQFNX","Item Owner","KindleUnlimited"
"Wallbanger (The Cocktail Series Book 1)","B00B73MULG","Item Owner","KindleUnlimited"
"Perfectly Imperfect","B017O4W3V8","Item Owner","KindleUnlimited"
"Not Available","B0DT18K2ZC","Not Interested","GR"
"Fixed on You","B00J2XQUU0","Item Owner","Purchase"
"Their Last Resort","B0CBNLZSPG","Item Owner","Purchase"
"Make Me: A Dark Crime Syndicate Romance (The Fox Family Crime Syndicate Book 1)","B0BCHJ9885","Item Owner","KindleUnlimited"
"Perfectly Imperfect","B01B8L24S0","Item Owner","AudiblePlus"
"33 Unplayed Voicemails","B0B9NZLGB2","Item Owner","AudiblePlus"
"A Royally Inconvenient Marriage","B07ZQSHD99","Item Owner","AudiblePlus"
"Heidi's Guide to Four Letter Words","B07SYD5Q5M","Item Owner","AudiblePlus"
"A Murder to Remember","B0CT62PK7B","Item Owner","AudiblePlus"
"The Bookworm Crush","B0833DF51Y","Item Owner","AudiblePlus"
"Kismet","B09QD3FVHQ","Item Owner","AudiblePlus"
"Bigger Rock (The Big Rock Collections Book 1)","B0798BZNLY","Item Owner","KindleUnlimited"
"Never Have I Ever","B07S2VLB1C","Item Owner","AudiblePlus"
"After the Fairy Tale","B08MQP56R2","Item Owner","AudiblePlus"
"Royally Not Ready: A Royal Romance Duet (Not Really Royal Book 1)","B09X6HZ4FT","Item Owner","KindleUnlimited"
"Priceless: A Dark College Romance","B083GY7J9P","Item Owner","KindleUnlimited"
"The Bodyguard: A Novel","B09CNFRZDC","Item Owner","KindleUnlimited"
"The Spanish Love Deception: A Novel (The Love Deception Series)","B09HJDSQ5P","Item Owner","KindleUnlimited"
"American Queen","153344367X","Not Interested","GR"
"American King: American Queen Series, Book 3","B07B8WHLBY","Item Owner","AudiblePlus"
"American Prince: American Queen Series, Book 2","B072KPRX1D","Item Owner","AudiblePlus"
"My Dark Romeo: Dark Prince Road, Book 1","B0BY3BJPY5","Item Owner","Purchase"
"The Marriage Auction: Book One: The Marriage Auction, Book 1","B0BR8H5JWL","Item Owner","KindleUnlimited"
"The Stopover: The Miles High Club, Book 1","B07YG8L383","Item Owner","KindleUnlimited"
"The Casanova: The Miles High Club, Book 3","B0977K6JXF","Item Owner","KindleUnlimited"
"The Stopover (The Miles High Club Book 1)","B07QNKVR3N","Item Owner","KindleUnlimited"
"Someone Exactly Like Me: A Slow Burn, Forced Proximity, Strangers to Friends to Lovers Romance (Wounded Hearts Series Book 1) (Wounded Hearts Romance)","B099QTBDB4","Item Owner","KindleUnlimited"
"The Marriage Auction: Book One","B0BJMZ2FQ3","Item Owner","KindleUnlimited"
"Fix Her Up: A Novel","B07C1XR6BK","Item Owner","KindleUnlimited"
"The Casanova (The Miles High Club Book 3)","B08X472VK3","Item Owner","KindleUnlimited"
"Failure to Match: An Enemies to Lovers Billionaire Matchmaker Romance (Bad Billionaire Bosses Book 2)","B0CYWDS6CT","Item Owner","KindleUnlimited"
"Beautifully Cruel","B07ZFZZ2GQ","Item Owner","KindleUnlimited"
"A Love Letter to Whiskey","B01M98D4TM","Item Owner","KindleUnlimited"
"Please Me: A Stark Ever After Novella (1001 Dark Nights)","B0778CV9Y4","Item Owner","KindleUnlimited"
"Smitten with the Best Man (Chicago Law Book 1)","B07CNF13KX","Item Owner","Purchase"
